"Name","URL","Path"
"Experiment_0_-_Error_Analysis_and_Graph_Drawing.pdf","https://drive.google.com/file/d/1YpXBV7x67ontGG884CrTvqHH5VjLgutP/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Lab Resourses and Slides/Experiment_0_-_Error_Analysis_and_Graph_Drawing.pdf"
"Assignment_-_Experiment_0_-_Error_Analysis_and_Graph_Drawing.pdf","https://drive.google.com/file/d/1AdzniVNrGoC306FCmBe2n33ojy5mNGY-/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Lab Resourses and Slides/Assignment_-_Experiment_0_-_Error_Analysis_and_Graph_Drawing.pdf"
"Exp9.pdf","https://drive.google.com/file/d/1B-I-5Ac3ZsL4P4ccvtMfClQYOlyxHKWM/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Exp9.pdf"
"Exp5.pdf","https://drive.google.com/file/d/1ONjVcNWB_SppBbobcehazMGKA9j76UWG/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Exp5.pdf"
"Exp2.pdf","https://drive.google.com/file/d/1L5VgQsJyVqHvYIk0qKQdNRBJLOZHknj9/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Exp2.pdf"
"Exp6.pdf","https://drive.google.com/file/d/1ydnVYDpMZcKgMpIPfgD0Vc7B9idr1jci/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Exp6.pdf"
"Exp7.pdf","https://drive.google.com/file/d/1S8wUgTr97VcAsUsbXqO6yDipVEnQlcsI/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Exp7.pdf"
"Exp4.pdf","https://drive.google.com/file/d/1RXMJ65SZi1gMACzU7RzTxBiVKz-K9sGg/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Exp4.pdf"
"Exp3.pdf","https://drive.google.com/file/d/1bxss2StY8dG9gXCiu6A1MnRann85SdYR/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Exp3.pdf"
"Newon_s_Ring.pdf","https://drive.google.com/file/d/1scIgydVMZISXWEu72-ZedLQ_kayc3nCB/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Newon_s_Ring.pdf"
"Planks_Constant.pdf","https://drive.google.com/file/d/1owkpRdWpkWqjjjFQBGpYSIY7K0MYVxRK/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Planks_Constant.pdf"
"LCR.pdf","https://drive.google.com/file/d/1icbDuZQLrZWqF9jiyXInqsGaQctkr7iH/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/LCR.pdf"
"Exp1.pdf","https://drive.google.com/file/d/17aARquuT7qHVhFFNZ5s2FTXbB3Li7KA8/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Exp1.pdf"
"Speed_of_Sound_2a.pdf","https://drive.google.com/file/d/1hlugvh2jIktyeDCK2WXELs_K5L4PJaKk/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Speed_of_Sound_2a.pdf"
"IVCharacteristics_2b.pdf","https://drive.google.com/file/d/144i2N_DYMjhBr3AoOMUu7aSoSYyN-CBH/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/IVCharacteristics_2b.pdf"
